method,n,reps,median_sec,min_sec,max_sec,checksum_v0_mean_sum,n_result_rows
pandas_naive,100000,7,0.038456198293715715,0.03089593630284071,0.05734279891476035,10.02037,20
pandas_manual,100000,7,0.007583624217659235,0.006939318031072617,0.010371251963078976,10.02037,20
polars_eager,100000,7,0.051417200826108456,0.043884940911084414,0.11315264087170362,10.02037,20
polars_lazy,100000,7,0.013439568690955639,0.008233990054577589,0.027289746794849634,10.02037,20
pandas_naive,300000,7,0.09165850467979908,0.06357345497235656,0.10319078015163541,10.043806,20
pandas_manual,300000,7,0.01289675710722804,0.011168732307851315,0.01793370908126235,10.043806,20
polars_eager,300000,7,0.08623358514159918,0.06388779589906335,0.11617045104503632,10.043806,20
polars_lazy,300000,7,0.01650799298658967,0.01176950940862298,0.03292060503736138,10.043806,20
pandas_naive,1000000,7,0.2964954790659249,0.19495687540620565,0.34720746520906687,9.978294,20
pandas_manual,1000000,7,0.04026719322428107,0.036135667003691196,0.04778181808069348,9.978294,20
polars_eager,1000000,7,0.16057614190503955,0.12624273169785738,0.2383128642104566,9.978294,20
polars_lazy,1000000,7,0.019849669188261032,0.015938275028020144,0.042026779148727655,9.978294,20
pandas_naive,3000000,7,0.9162027691490948,0.8466748367063701,1.126721816137433,9.99724,20
pandas_manual,3000000,7,0.07918798085302114,0.06817151978611946,0.09680676413699985,9.99724,20
polars_eager,3000000,7,0.3905610661022365,0.3635715190321207,0.4245771309360862,9.99724,20
polars_lazy,3000000,7,0.04259111825376749,0.03836589911952615,0.07040986604988575,9.99724,20
