lib,n,n_groups,reps,threads_requested,threads_effective,median_sec,min_sec,max_sec
pandas,5000000,1000,7,,,0.10318244714289904,0.08130536787211895,0.1381991389207542
polars,5000000,1000,7,1,1,0.20827751979231834,0.19164801901206374,0.22776376409456134
polars,5000000,1000,7,2,2,0.1324751302599907,0.11475684493780136,0.19868578668683767
polars,5000000,1000,7,4,4,0.09082956099882722,0.08489619707688689,0.10947168665006757
polars,5000000,1000,7,8,8,0.06697611697018147,0.05798889510333538,0.0906524802558124
polars,5000000,1000,7,16,16,0.06678850064054132,0.05740126874297857,0.08716716524213552
polars,5000000,1000,7,32,32,0.08528932509943843,0.06684512831270695,0.11231375904753804
